labID,age,error,depth,cc,dR,dSTD,ta,tb
184500,0,1,5,1,0,0,3,4
184410,2140,30,178,1,0,0,3,4
184505,3310,30,218.39,1,0,0,3,4
184506,3925,35,362.13,1,0,0,3,4
185071,4240,40,376.34,1,0,0,3,4
185072,4532,40,512.72,1,0,0,3,4
184507,5340,35,538.29,1,0,0,3,4
184508,5960,40,585.38,1,0,0,3,4
185073,7010,40,733.1,1,0,0,3,4
184509,7160,40,834.54,1,0,0,3,4
184510,7200,40,904.64,1,0,0,3,4
184548,7510,50,944.71,1,0,0,3,4
184549,8800,50,1018.86,1,0,0,3,4
185074,8090,40,1064.89,1,0,0,3,4
